source,target,relation
the writers,Ross 's character in Schwimmer 's voice,developing
His relationship with Rachel Green,"Entertainment Weekly 's "" 30 Best",included
His relationship with Rachel Green,with Rachel Green,with
Ross 's character in Schwimmer 's voice,in Schwimmer 's voice,in
the six main characters of the NBC sitcom Friends,of the NBC sitcom Friends,of
the most intelligent member of the group,of the group,of
"TV Guide 's list of the best TV couples of all time , as well as","of the best TV couples of all time , as well as",of
"the best TV couples of all time , as well as",of all time,of
"the best TV couples of all time , as well as",as well as,as
the executive producers of the show,of the show,of
his,his goofy but lovable,has
His,His relationship with Rachel Green,has
TV Guide 's,"TV Guide 's list of the best TV couples of all time , as well as",has
Entertainment Weekly 's,"Entertainment Weekly 's "" 30 Best",has
Ross 's,Ross 's character in Schwimmer 's voice,has
Schwimmer 's,Schwimmer 's voice,has
